Announcement ID,Time,System Time,Keywords,Title,Summary,Link
2,"Fri, 31 May 2024 13:37:00 +0000",2024-06-03 01:55:31.543385,other,"Hello Health Group (HHG) Welcomes 5i Ventures (5iV) as Leading Investor, Paving the Way for Future Growth","<p>SINGAPORE, May 31, 2024 /PRNewswire/ -- Hello Health Group (HHG), the leading digital health and wellness platform in Asia, is pleased to announce the successful closing of the Singapore-based 5i Ventures (5iV) acquisition of a major stake in HHG. Following the transaction, 5iV will be...</p>",https://www.prnewswire.com/apac/news-releases/hello-health-group-hhg-welcomes-5i-ventures-5iv-as-leading-investor-paving-the-way-for-future-growth-302160683.html
4,"Thu, 30 May 2024 14:50:50 +0000",2024-06-03 01:57:46.204452,other,Agilence Announces Acquisition of IntelliQ to Extend Market Leadership for Loss Prevention Software,Strategic acquisition enables customers around the world to minimize shrink and maximize profitability,https://www.newswire.com/news/agilence-announces-acquisition-of-intelliq-to-extend-market-leadership-22348746
5,"Thu, 30 May 2024 14:00:02 +0000",2024-06-03 01:57:46.204452,other,Agilence Acquires IntelliQ to Extend Market Leadership for Loss Prevention Software,Strategic acquisition enables customers around the world to minimize shrink and maximize profitability,https://www.newswire.com/news/agilence-acquires-intelliq-to-extend-market-leadership-for-loss-22347469
10,"Mon, 20 May 2024 16:00:03 +0000",2024-06-03 01:57:46.204452,other,GrowthZone Acquires JUNO to Enhance Member Engagement Capabilities,GrowthZone has expanded its portfolio of association management solutions to include an interactive community and learning application.,https://www.newswire.com/news/growthzone-acquires-juno-to-enhance-member-engagement-capabilities-22334230
11,"Mon, 20 May 2024 12:00:04 +0000",2024-06-03 01:57:46.204452,"investment, other",Bob Dake Named Principal at Sterling Organization,"Sterling Organization ('Sterling'), a vertically integrated private equity real estate investment firm headquartered in West Palm Beach, Florida, is pleased to announce that Bob Dake has become a Principal of the Firm.",https://www.newswire.com/news/bob-dake-named-principal-at-sterling-organization-22335748
14,"Tue, 14 May 2024 19:00:04 +0000",2024-06-03 01:57:46.204452,other,"Arden Home Health & Hospice Acquires Mid-Delta Home Health, Solidifying Its Coverage Footprint to Over 90% of Mississippi","Arden Hospice is proud to announce its recent acquisition of Mid-Delta Home Health, a 40+ year family-owned, Mississippi business covering predominantly the Mississippi Delta and surrounding areas.",https://www.newswire.com/news/arden-home-health-hospice-acquires-mid-delta-home-health-solidifying-22330995
16,"Mon, 13 May 2024 13:00:08 +0000",2024-06-03 01:57:46.204452,other,Elbi of America Acquires NDA,Elbi of America Strengthens Portfolio of Companies with Acquisition of NDA: Expanding Market Presence,https://www.newswire.com/news/elbi-of-america-acquires-nda-22328879
17,"Tue, 20 Feb 2024 13:00:06 +0000",2024-06-03 01:57:49.400946,other,SEAM Group to Be Acquired by ABB: A Strategic Move to Drive Client’s Electrification and Operational Excellence Offering,"SEAM Group expands ABB's reach in key growth markets, provides access to SEAM Group's 800+ clients across the U.S., the Americas, EMEA, and Asia, and strengthens ABB's presence in sectors like data centers, healthcare, and EV charging infrastructure.",https://www.newswire.com/news/seam-group-to-be-acquired-by-abb-a-strategic-move-to-drive-client-s-22244702
18,"Mon, 08 Jan 2024 18:00:10 +0000",2024-06-03 01:57:49.400946,other,"WorldWide Electric Corporation Announces the Acquisition of North American Electric, Inc.","WorldWide Electric’s strategic acquisition of North American Electric, Inc. combines two leading customer-centric organizations to create an unparalleled customer experience across the industrial market for electric motors, motor controls, gear reducers and generators.",https://www.newswire.com/news/worldwide-electric-corporation-announces-the-acquisition-of-north-22212661
20,"Thu, 14 Sep 2023 13:00:04 +0000",2024-06-03 01:57:49.400946,other,Pinnacle Promotions Unveils Pinnacle Print Shop: Elevating Customization With In-House Promotional Material Printing and Custom Printed Signage,"Pinnacle Promotions introduces Pinnacle Print Shop, a premium digital printing service that enhances in-house customization capabilities, offers promotional material printing and custom printed signage. This all-inclusive offering also empowers clients to effortlessly acquire both promotional products and brand-enhancing print materials through a single, seamless solution.",https://www.newswire.com/news/pinnacle-promotions-unveils-pinnacle-print-shop-elevating-22122876
